"2","Egg","1"
"3","None","2"
"4","None","3"
"6","Egg","4"
"7","Wheat","4"
"8","None","5"
"9","Dairy","6"
"10","Egg","6"
"11","None","7"
"13","None","8"
"14","None","9"
